Category;Correlation;p-value
lifestyle;0.14215758711821727;5.213406533447253e-19
health;0.3658655942222912;3.292451347908386e-92
news;0.5145472512722893;0.0
sports;0.8131964820429658;0.0
weather;0.3189060590661383;2.9257485063345693e-57
entertainment;-0.2152949020436506;1.3339582335782024e-20
autos;0.4994851073649478;2.159852950042837e-162
travel;0.06052963486772667;0.0004914750168325314
foodanddrink;0.5015616916856286;3.7238116571738713e-231
tv;0.020460920450203368,;0.25513883679581284
finance;0.33378888158778447;1.3130570839721873e-98
movies;-0.05822688219167759;0.007551071788677209
video;-0.08205367810618355;7.435858919627466e-05
music;-0.12554794478590905;8.257419918493603e-09
kids;nan;nan
middleeast;nan;nan
northamerica;nan;nan